"id,nameWithOwner,url,stargazersTotalCount,issuesTotalCount"
"MDEwOlJlcG9zaXRvcnk1MjcyODUxNw==,programthink/zhao,https://github.com/programthink/zhao,{'totalCount': 7158},{'totalCount': 286}"
"MDEwOlJlcG9zaXRvcnk0OTc2MDUwNA==,samshadwell/TrumpScript,https://github.com/samshadwell/TrumpScript,{'totalCount': 7107},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnkxMjAyNDY5NDI=,pwxcoo/chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,{'totalCount': 7050},{'totalCount': 37}"
"MDEwOlJlcG9zaXRvcnkxMTEzNDAxMjk=,keras-team/autokeras,https://github.com/keras-team/autokeras,{'totalCount': 6992},{'totalCount': 557}"
"MDEwOlJlcG9zaXRvcnk3MDUzMDg1NA==,awslabs/serverless-application-model,https://github.com/awslabs/serverless-application-model,{'totalCount': 6966},{'totalCount': 862}"
"MDEwOlJlcG9zaXRvcnk5NjkxMzk2Nw==,eriklindernoren/Keras-GAN,https://github.com/eriklindernoren/Keras-GAN,{'totalCount': 6920},{'totalCount': 181}"
"MDEwOlJlcG9zaXRvcnkxMzUwNTAwNjg=,wangshub/Douyin-Bot,https://github.com/wangshub/Douyin-Bot,{'totalCount': 6916},{'totalCount': 90}"
"MDEwOlJlcG9zaXRvcnk4MzI4Njk2NA==,Yorko/mlcourse.ai,https://github.com/Yorko/mlcourse.ai,{'totalCount': 6878},{'totalCount': 80}"
"MDEwOlJlcG9zaXRvcnk5ODMzNjY5MA==,deepmind/pysc2,https://github.com/deepmind/pysc2,{'totalCount': 6841},{'totalCount': 226}"
"MDEwOlJlcG9zaXRvcnk1Njg5Nzc2Ng==,donnemartin/gitsome,https://github.com/donnemartin/gitsome,{'totalCount': 6801},{'totalCount': 93}"
"MDEwOlJlcG9zaXRvcnk1OTg2ODI2Mg==,aws/chalice,https://github.com/aws/chalice,{'totalCount': 6705},{'totalCount': 797}"
"MDEwOlJlcG9zaXRvcnk1MDc2NDI4NQ==,Urinx/WeixinBot,https://github.com/Urinx/WeixinBot,{'totalCount': 6690},{'totalCount': 228}"
"MDEwOlJlcG9zaXRvcnkxNjMzNDYwNTQ=,uber/ludwig,https://github.com/uber/ludwig,{'totalCount': 6685},{'totalCount': 398}"
"MDEwOlJlcG9zaXRvcnkxMjk4NzQwNDU=,vipstone/faceai,https://github.com/vipstone/faceai,{'totalCount': 6685},{'totalCount': 38}"
"MDEwOlJlcG9zaXRvcnkxMDIwNTc0ODM=,deepinsight/insightface,https://github.com/deepinsight/insightface,{'totalCount': 6652},{'totalCount': 1098}"
"MDEwOlJlcG9zaXRvcnk4NzcyMDI4Nw==,Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,{'totalCount': 6613},{'totalCount': 147}"
"MDEwOlJlcG9zaXRvcnkxMjc0NjYyMjY=,s0md3v/Photon,https://github.com/s0md3v/Photon,{'totalCount': 6548},{'totalCount': 84}"
"MDEwOlJlcG9zaXRvcnk1Mjc5NjU5Ng==,netbox-community/netbox,https://github.com/netbox-community/netbox,{'totalCount': 6480},{'totalCount': 3703}"
"MDEwOlJlcG9zaXRvcnkxMzYyMDI2OTU=,mlflow/mlflow,https://github.com/mlflow/mlflow,{'totalCount': 6467},{'totalCount': 1097}"
"MDEwOlJlcG9zaXRvcnk1MDMwMTM2OA==,p-e-w/maybe,https://github.com/p-e-w/maybe,{'totalCount': 6449},{'totalCount': 38}"
"MDEwOlJlcG9zaXRvcnkxMTY2NzI4MTE=,30-seconds/30-seconds-of-python,https://github.com/30-seconds/30-seconds-of-python,{'totalCount': 6441},{'totalCount': 45}"
"MDEwOlJlcG9zaXRvcnk5MDM1NjM3Mg==,pirate/ArchiveBox,https://github.com/pirate/ArchiveBox,{'totalCount': 6399},{'totalCount': 248}"
"MDEwOlJlcG9zaXRvcnk4NTAxMjk0Mg==,yandex/gixy,https://github.com/yandex/gixy,{'totalCount': 6392},{'totalCount': 55}"
"MDEwOlJlcG9zaXRvcnkxNzA3NzcxMzI=,machinelearningmindset/machine-learning-course,https://github.com/machinelearningmindset/machine-learning-course,{'totalCount': 6374},{'totalCount': 3}"
"MDEwOlJlcG9zaXRvcnk5NDgwMTM4MA==,The-Art-of-Hacking/h4cker,https://github.com/The-Art-of-Hacking/h4cker,{'totalCount': 6359},{'totalCount': 8}"
"MDEwOlJlcG9zaXRvcnk2ODYxOTM3OQ==,bbfamily/abu,https://github.com/bbfamily/abu,{'totalCount': 6292},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnk2NDg3ODk2NA==,fchollet/deep-learning-models,https://github.com/fchollet/deep-learning-models,{'totalCount': 6280},{'totalCount': 101}"
"MDEwOlJlcG9zaXRvcnk5NDIxODUzMQ==,lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,{'totalCount': 6279},{'totalCount': 382}"
"MDEwOlJlcG9zaXRvcnkxMzA0NzQ0OTc=,eriklindernoren/PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,{'totalCount': 6255},{'totalCount': 83}"
"MDEwOlJlcG9zaXRvcnk5MDk4MDE4Mg==,schollz/howmanypeoplearearound,https://github.com/schollz/howmanypeoplearearound,{'totalCount': 6247},{'totalCount': 31}"
"MDEwOlJlcG9zaXRvcnk3MzY1NDgxMg==,luyishisi/Anti-Anti-Spider,https://github.com/luyishisi/Anti-Anti-Spider,{'totalCount': 6236},{'totalCount': 30}"
"MDEwOlJlcG9zaXRvcnk5NDUwNjgzMg==,pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,{'totalCount': 6197},{'totalCount': 726}"
"MDEwOlJlcG9zaXRvcnk5Mjg0MTI3Ng==,brightmart/text_classification,https://github.com/brightmart/text_classification,{'totalCount': 6162},{'totalCount': 118}"
"MDEwOlJlcG9zaXRvcnkxMDA0MDE2MTI=,Delgan/loguru,https://github.com/Delgan/loguru,{'totalCount': 6108},{'totalCount': 223}"
"MDEwOlJlcG9zaXRvcnk4OTI2NjczNQ==,facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,{'totalCount': 6070},{'totalCount': 633}"
"MDEwOlJlcG9zaXRvcnk2MDYyNjcyNw==,tensorlayer/tensorlayer,https://github.com/tensorlayer/tensorlayer,{'totalCount': 6070},{'totalCount': 432}"
"MDEwOlJlcG9zaXRvcnk1Mjc2MDE3OA==,crazyguitar/pysheeet,https://github.com/crazyguitar/pysheeet,{'totalCount': 6053},{'totalCount': 29}"
"MDEwOlJlcG9zaXRvcnkyNTM2MDEyNTc=,alievk/avatarify,https://github.com/alievk/avatarify,{'totalCount': 6043},{'totalCount': 149}"
"MDEwOlJlcG9zaXRvcnkxMzU2NzM0NTE=,microsoft/nni,https://github.com/microsoft/nni,{'totalCount': 6036},{'totalCount': 778}"
"MDEwOlJlcG9zaXRvcnk3NTgyOTYwMA==,wiseodd/generative-models,https://github.com/wiseodd/generative-models,{'totalCount': 6022},{'totalCount': 61}"
"MDEwOlJlcG9zaXRvcnk1MzA5Mjc1Nw==,microsoft/botframework-sdk,https://github.com/microsoft/botframework-sdk,{'totalCount': 6016},{'totalCount': 5229}"
